n,c,average_total_cost
189,1,3522.3559365764686
188,1,3522.3596930211593
190,1,3522.366978311799
187,1,3522.3787706298353
191,1,3522.3923114315185
186,1,3522.4137091133584
192,1,3522.43144480796
185,1,3522.465065466896
193,1,3522.483902478606
184,1,3522.5334145468714
194,1,3522.5492231602448
183,1,3522.619349668121
195,1,3522.6269597794644
196,1,3522.716679018963
182,1,3522.7234832220247
197,1,3522.817960879088
181,1,3522.846447316336
198,1,3522.9303982540987
180,1,3522.988894437497
199,1,3523.053596522628
179,1,3523.151498136251
200,1,3523.1871731518618
201,1,3523.330757314936
178,1,3523.3349537373797
202,1,3523.483989521126
