Deigma,x1,x2,x3,x4,x5,xbar,s,xbar_out_of_control,s_out_of_control,any_out_of_control
1,9.01,9.02,8.92,9.0,9.01,8.992,0.040865633483405016,False,False,False
2,9.06,9.04,8.99,9.0,9.0,9.018,0.030331501776206173,False,False,False
3,9.02,8.98,8.99,9.02,9.05,9.012,0.02774887385102323,False,False,False
4,8.95,9.02,9.04,9.07,9.04,9.024,0.04505552130427546,False,False,False
5,9.0,8.98,8.98,8.97,8.99,8.984,0.011401754250991138,False,False,False
6,9.01,9.04,9.01,8.98,8.99,9.005999999999998,0.023021728866442187,False,False,False
7,8.95,9.0,8.93,8.96,9.06,8.98,0.051478150704935284,False,False,False
8,9.0,9.03,8.98,8.99,9.06,9.012,0.032710854467592206,False,False,False
9,9.03,8.98,8.94,9.07,9.0,9.004,0.04929503017546507,False,False,False
10,9.09,9.05,9.08,9.08,8.99,9.058,0.04086563348340497,True,False,True
11,9.09,9.13,9.1,9.04,9.07,9.086,0.0336154726279437,True,False,True
12,9.07,9.07,9.06,9.07,9.08,9.07,0.007071067811865324,True,False,True
13,9.08,9.05,9.03,9.06,8.97,9.038,0.04207136793592516,False,False,False
14,9.08,9.05,9.12,9.02,9.06,9.065999999999999,0.037148351242013176,True,False,True
15,9.12,9.04,9.02,9.1,9.08,9.072,0.04147288270665546,True,False,True
