feature,best_threshold,gini_decrease,left_n,right_n
total sulfur dioxide,67.5,0.20664789158451977,806,2900
chlorides,0.06149999983608723,0.20041691946929208,2694,1012
volatile acidity,0.4050000011920929,0.11389519295300121,2869,837
free sulfur dioxide,19.5,0.08127979040081507,1126,2580
sulphates,0.5249999761581421,0.06851984010758516,2065,1641
fixed acidity,8.550000190734863,0.06326424067428338,3323,383
residual sugar,4.1499998569488525,0.057565139722167646,2141,1565
density,0.9948300123214722,0.05394242596527038,2086,1620
citric acid,0.1249999962747097,0.05297421181021977,334,3372
pH,3.2549999952316284,0.027438899936773953,2411,1295
alcohol,8.949999809265137,0.0029605117047709073,138,3568
