max_depth,train_accuracy,train_error,test_accuracy,test_error
1,0.9085267134376687,0.09147328656233134,0.9118942731277533,0.08810572687224671
2,0.9325418240690772,0.06745817593092285,0.933920704845815,0.06607929515418498
3,0.9530491095520777,0.04695089044792233,0.9509125235997483,0.049087476400251684
4,0.9627630868861305,0.03723691311386945,0.9628697293895532,0.037130270610446825
5,0.9700485698866703,0.02995143011332968,0.9641283826305853,0.03587161736941469
6,0.9738262277388019,0.026173772261198103,0.9653870358716173,0.03461296412838266
7,0.9762547220723151,0.023745277927684882,0.961611076148521,0.03838892385147896
8,0.9776038855909336,0.022396114409066414,0.961611076148521,0.03838892385147896
9,0.9800323799244468,0.019967620075553194,0.960352422907489,0.03964757709251099
10,0.9819212088505127,0.018078791149487294,0.9597230962869729,0.04027690371302706
11,0.98246087425796,0.017539125742039974,0.9609817495280051,0.03901825047199492
12,0.9840798704803022,0.01592012951969779,0.9496538703587162,0.05034612964128382
13,0.985968699406368,0.014031300593632001,0.9496538703587162,0.05034612964128382
14,0.9878575283324339,0.012142471667566102,0.948395217117684,0.05160478288231596
15,0.9902860226659471,0.009713977334052881,0.946507237256136,0.05349276274386405
16,0.9905558553696708,0.009444144630329165,0.9395846444304594,0.060415355569540585
17,0.9916351861845656,0.008364813815434413,0.9408432976714916,0.05915670232850845
18,0.9932541824069078,0.006745817593092229,0.9414726242920075,0.05852737570799249
19,0.9937938478143551,0.006206152185644909,0.9358086847073631,0.06419131529263689
20,0.9959525094441446,0.004047490555855404,0.934550031466331,0.06544996853366902
