max_depth,test_accuracy,test_error
1,0.9118942731277533,0.08810572687224671
2,0.933920704845815,0.06607929515418498
3,0.9509125235997483,0.049087476400251684
4,0.9628697293895532,0.037130270610446825
5,0.9641283826305853,0.03587161736941469
6,0.9653870358716173,0.03461296412838266
7,0.961611076148521,0.03838892385147896
8,0.961611076148521,0.03838892385147896
9,0.960352422907489,0.03964757709251099
10,0.9597230962869729,0.04027690371302706
11,0.9609817495280051,0.03901825047199492
12,0.9496538703587162,0.05034612964128382
13,0.9496538703587162,0.05034612964128382
14,0.948395217117684,0.05160478288231596
15,0.946507237256136,0.05349276274386405
16,0.9395846444304594,0.060415355569540585
17,0.9408432976714916,0.05915670232850845
18,0.9414726242920075,0.05852737570799249
19,0.9358086847073631,0.06419131529263689
20,0.934550031466331,0.06544996853366902
