page,camelot_lattice_shapes,camelot_stream_shapes,tabula_lattice_shapes,tabula_stream_shapes
1,[],"[(2, 2)]","[(3, 1), (2, 1), (3, 2)]",[]
2,"[(1, 3)]","[(1, 1)]","[(2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (3, 5), (2, 1), (2, 1)]",[]
3,[],"[(3, 2)]","[(2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 5)]",[]
4,[],"[(11, 7)]","[(2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 2), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (17, 23), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1)]",[]
5,[],"[(8, 7)]","[(2, 1), (2, 1), (2, 2), (13, 17), (2, 2), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1), (2, 2), (2, 1), (2, 1)]",[]
6,[],"[(3, 4)]","[(2, 1), (2, 2), (2, 1), (2, 1), (2, 1), (3, 4)]",[]
7,"[(3, 3)]","[(12, 5)]","[(2, 2), (2, 1), (2, 1), (2, 1), (3, 4)]",[]
8,[],"[(5, 5)]","[(2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (3, 4)]",[]
9,[],"[(12, 10)]","[(2, 1), (2, 1), (2, 1), (2, 1), (2, 2), (3, 4)]",[]
10,[],"[(6, 6)]","[(2, 2), (2, 1), (2, 1), (2, 1), (2, 1), (3, 4)]",[]
11,[],"[(10, 9)]","[(2, 1), (3, 5), (2, 1), (2, 1), (2, 1), (2, 1), (2, 1)]",[]
12,[],"[(13, 8)]","[(2, 1), (2, 1), (2, 1), (2, 1), (2, 1), (2, 5)]",[]
13,[],"[(16, 11)]","[(2, 1), (2, 1), (3, 1), (17, 7), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (18, 7), (3, 1)]","[(10, 8)]"
14,[],"[(11, 14)]","[(3, 1), (3, 1), (3, 1), (3, 1), (17, 7), (2, 1), (2, 1), (4, 1), (3, 1), (3, 1)]","[(7, 8)]"
15,[],"[(6, 7), (7, 9)]","[(3, 1), (3, 1), (2, 1), (3, 1), (4, 1), (3, 1), (2, 2), (18, 7), (19, 7), (3, 1), (2, 1)]","[(13, 13)]"
16,[],"[(5, 7), (6, 9)]","[(3, 1), (2, 1), (3, 1), (3, 1), (3, 1), (4, 1), (3, 1), (21, 7), (2, 1), (3, 1), (2, 1)]","[(11, 9)]"
17,[],"[(7, 10)]","[(2, 1), (8, 8), (2, 2), (8, 8), (2, 1), (3, 1), (2, 2), (16, 8), (3, 1), (2, 2)]","[(6, 9), (6, 9)]"
18,[],"[(9, 9)]","[(7, 7), (2, 1), (3, 1), (8, 7)]","[(4, 7)]"
19,[],"[(5, 6), (6, 7)]","[(3, 1), (2, 1), (21, 7), (2, 1), (19, 7), (4, 1), (2, 1), (2, 2), (3, 1), (4, 1), (2, 1)]","[(6, 7), (6, 7)]"
20,[],"[(13, 7)]","[(3, 1), (3, 1), (9, 7), (2, 1), (2, 1), (3, 1), (10, 7)]","[(13, 7)]"
21,[],"[(17, 11)]","[(8, 8), (4, 4), (4, 8), (2, 1)]","[(8, 7)]"
22,[],"[(28, 7)]","[(2, 1), (2, 1), (3, 1), (14, 7), (13, 7), (3, 1), (2, 1), (3, 1)]","[(27, 7)]"
23,[],"[(6, 7)]","[(2, 1), (10, 7), (2, 1), (2, 1), (9, 7), (2, 1), (3, 1)]","[(6, 7)]"
24,[],"[(8, 7)]","[(4, 1), (13, 7), (3, 1), (12, 7), (2, 1), (3, 1), (3, 1), (2, 1)]","[(8, 7)]"
25,[],"[(15, 10)]","[(4, 1), (3, 1), (9, 7), (3, 1), (8, 7), (2, 1), (2, 1), (2, 1)]","[(10, 8)]"
